date,market,Eggs (local),Tomatoes (local),duplicate
2020-08-15,Thae Chaung,1300,1300,TRUE
2020-08-15,Thet Kay Pyin,1250,1250,TRUE
2020-08-15,Toungup Main,1200,1200,TRUE
2020-08-15,Lahe,1650,1650,TRUE
2020-08-15,Mingalar market,1250,1250,TRUE
2020-08-15,Municipal,1666,1666,TRUE
2020-08-15,Myoma,1500,1500,TRUE
2020-08-15,Mong Pawk,1500,1500,TRUE
2020-08-15,Ban Wai,1320,1320,TRUE
2020-08-15,Lin Haw,1320.5,1320.5,TRUE
2020-08-15,Galeng,1200,1200,TRUE
2020-08-15,Lashio Market,1000,1000,TRUE
2020-08-15,Laukkaing,1700,1700,TRUE
2020-08-15,Dein Aw,1500,1500,TRUE
2020-08-15,Nawng Hkit,1320,1320,TRUE
2020-08-15,Kutkai,1166.67,1166.67,TRUE
2020-08-15,Mong See,1200,1200,TRUE
2020-08-15,Namhkam Market,1000,1000,TRUE
2020-08-15,Kan Nar Market,1200,1200,TRUE
2020-08-15,Yebyu Market,1216.67,1216.67,TRUE
2020-09-15,Tedim Municipal Market,1358,1358,TRUE
2020-09-15,Tonzang,1430,1430,TRUE
2020-09-15,Hakha Myoma Market,1250,1250,TRUE
2020-09-15,Raldunn Market,1250,1250,TRUE
2020-09-15,Matupi,1250,1250,TRUE
2020-09-15,Sanbaung,1250,1250,TRUE
2020-09-15,Kanpetlet,1250,1250,TRUE
2020-09-15,Mindat Myoma Market,1000,1000,TRUE
2020-09-15,Bhamo Market,1233.33,1233.33,TRUE
2020-09-15,Loijie,1400,1400,TRUE
2020-09-15,Man Wein Gyi,1300,1300,TRUE
2020-09-15,Mansi,1250,1250,TRUE
2020-09-15,Momauk,1200,1200,TRUE
2020-09-15,Hpakant Market,1430,1430,TRUE
2020-09-15,Sadung,1400,1400,TRUE
2020-09-15,Sanpya ward,1260,1260,TRUE
2020-09-15,Tanai Market,1266.67,1266.67,TRUE
2020-09-15,Hpasaung,1225,1225,TRUE
2020-09-15,Shadaw,1250,1250,TRUE
2020-09-15,Thiri Mingalar Market,1200,1200,TRUE
2020-09-15,KawKareik Myo Ma Market,1300,1300,TRUE
2020-09-15,Kanthar,1200,1200,TRUE
2020-09-15,Minbu Myo Ma Market,1200,1200,TRUE
2020-09-15,Pakokku Myo Ma Market,1150,1150,TRUE
2020-09-15,Mya Thida,1200,1200,TRUE
2020-09-15,Shwe Hin Tar,1200,1200,TRUE
2020-09-15,TBZY Myo Ma Zay,1200,1200,TRUE
2020-09-15,Zay Cho,1200,1200,TRUE
2020-09-15,Bilin Myo Ma Market,1200,1200,TRUE
2020-09-15,Thaton Myo Ma Zay,1200,1200,TRUE
2020-09-15,Kyauk Ta Lone,1500,1500,TRUE
2020-09-15,Buthidaung,1450,1450,TRUE
2020-09-15,Ka Nyin Tan,1458.33,1458.33,TRUE
2020-09-15,Nyaung Chung,1500,1500,TRUE
2020-09-15,Ahpauk Wa,2000,2000,TRUE
2020-09-15,Kin Seik,1250,1250,TRUE
2020-09-15,Laung Kyet,1300,1300,TRUE
2020-09-15,Minbya Main,1233.33,1233.33,TRUE
2020-09-15,Paung Toke,1200,1200,TRUE
2020-09-15,Ah Nauk Ywe,1700,1700,TRUE
2020-09-15,Kyaukpyu Main,1300,1300,TRUE
2020-09-15,Nget Chaung,1700,1700,TRUE
2020-09-15,Nyaung Pin Gyi,1420,1420,TRUE
2020-09-15,Rathedaung,1420,1420,TRUE
2020-09-15,Sin Tet Maw,2000,2000,TRUE
2020-09-15,Thae Chaung,1400,1400,TRUE
2020-09-15,Toungup Main,1350,1350,TRUE
2020-09-15,Lahe,1650,1650,TRUE
2020-09-15,Mingalar market,1250,1250,TRUE
2020-09-15,Municipal,1667,1667,TRUE
2020-09-15,Myoma,1575,1575,TRUE
2020-09-15,Mong Pawk,1500,1500,TRUE
2020-09-15,Ban Wai,1320,1320,TRUE
2020-09-15,Lin Haw,1320,1320,TRUE
2020-09-15,Galeng,1200,1200,TRUE
2020-09-15,Lashio Market,1000,1000,TRUE
2020-09-15,Dein Aw,1500,1500,TRUE
2020-09-15,Nawng Hkit,1320,1320,TRUE
2020-09-15,Kutkai,1200,1200,TRUE
2020-09-15,Mong See,1200,1200,TRUE
2020-09-15,Namhkam Market,1000,1000,TRUE
2020-09-15,Kan Nar Market,1200,1200,TRUE
2020-09-15,Yebyu Market,1200,1200,TRUE
2020-10-15,Tedim Municipal Market,1358,1358,TRUE
2020-10-15,Tonzang,1430,1430,TRUE
2020-10-15,Hakha Myoma Market,1250,1250,TRUE
2020-10-15,Raldunn Market,1250,1250,TRUE
2020-10-15,Paletwa Myoma Market,5000,5000,TRUE
2020-10-15,Sanbaung,1250,1250,TRUE
2020-10-15,Kanpetlet,1250,1250,TRUE
2020-10-15,Mindat Myoma Market,1000,1000,TRUE
2020-10-15,Bhamo Market,1100,1100,TRUE
2020-10-15,Loijie,1400,1400,TRUE
2020-10-15,Man Wein Gyi,1200,1200,TRUE
2020-10-15,Mansi,1275,1275,TRUE
2020-10-15,Momauk,1200,1200,TRUE
2020-10-15,Hpakant Market,1450,1450,TRUE
2020-10-15,Chipwi Market,1500,1500,TRUE
2020-10-15,Sadung,1200,1200,TRUE
2020-10-15,Sanpya ward,1300,1300,TRUE
2020-10-15,Tanai Market,1326.67,1326.67,TRUE
2020-10-15,Waingmaw,1300,1300,TRUE
2020-10-15,Hpasaung,1250,1250,TRUE
2020-10-15,Shadaw,1250,1250,TRUE
2020-10-15,Thiri Mingalar Market,1200,1200,TRUE
2020-10-15,Kanthar,1200,1200,TRUE
2020-10-15,Minbu Myo Ma Market,1200,1200,TRUE
2020-10-15,Pakokku Myo Ma Market,1150,1150,TRUE
2020-10-15,Mya Thida,1200,1200,TRUE
2020-10-15,Shwe Hin Tar,1200,1200,TRUE
2020-10-15,TBZY Myo Ma Zay,1200,1200,TRUE
2020-10-15,Zay Cho,1200,1200,TRUE
2020-10-15,Bilin Myo Ma Market,1200,1200,TRUE
2020-10-15,Thaton Myo Ma Zay,1200,1200,TRUE
2020-10-15,Buthidaung,1438,1438,TRUE
2020-10-15,Ka Nyin Tan,1450,1450,TRUE
2020-10-15,Nyaung Chung,1500,1500,TRUE
2020-10-15,Ahpauk Wa,2000,2000,TRUE
2020-10-15,Kin Seik,1250,1250,TRUE
2020-10-15,Laung Kyet,1300,1300,TRUE
2020-10-15,Myebon Main,1375,1375,TRUE
2020-10-15,Paung Toke,1400,1400,TRUE
2020-10-15,Ah Nauk Pyin,2000,2000,TRUE
2020-10-15,Ah Nauk Ywe,2000,2000,TRUE
2020-10-15,Kyaukpyu Main,2000,2000,TRUE
2020-10-15,Kyein Ni Pyin,2000,2000,TRUE
2020-10-15,Nget Chaung,2000,2000,TRUE
2020-10-15,Rathedaung,1500,1500,TRUE
2020-10-15,Sin Tet Maw,2000,2000,TRUE
2020-10-15,Thae Chaung,1250,1250,TRUE
2020-10-15,Thet Kay Pyin,1400,1400,TRUE
2020-10-15,Toungup Main,1400,1400,TRUE
2020-10-15,Lahe,1650,1650,TRUE
2020-10-15,Mingalar market,1350,1350,TRUE
2020-10-15,Municipal,1670,1670,TRUE
2020-10-15,Myoma,1575,1575,TRUE
