,Category,Hpapun,Kawkareik,Taungoo
Better Rice (1 kg),Essential Food Items,"1,500","1,400","1,400"
Cheaper Rice (1 kg),Essential Food Items,650,600,700
Palm Oil (1 liter),Essential Food Items,"4,200","4,000","4,900"
Pulse (1 viss),Essential Food Items,"3,200","3,300","3,500"
Garlic (1 viss),Vegetables,"4,000","3,800","3,000"
Onion (1 viss),Vegetables,"1,000","1,000","1,000"
Eggplant (1 viss),Vegetables,"1,500","1,500","1,000"
Long Bean (1 viss),Vegetables,"2,500","2,500","1,800"
Watercress (1 viss),Vegetables,"2,500","1,000",950
Green Chili (1 viss),Vegetables,"2,000","1,500","7,800"
Bananas,Vegetables,"1,500","1,500","1,000"
Toothpaste (140g),Hygiene,"1,200",500,"1,100"
Detergent (400g),Hygiene,"2,200",800,950
Soap (60g),Hygiene,500,400,"1,000"
Sanitary Pad (10 pc),Hygiene,"1,000",600,900
Shrimp (1 viss),Meat / Fish,"8,000","12,000","7,500"
Fresh Fish (1 viss),Meat / Fish,"5,000","4,500","6,000"
Dried Fish (1 viss),Meat / Fish,"10,000","9,000","7,500"
Ar Bae Kyauk (1 viss),Meat / Fish,"15,000","12,000","12,800"
Chicken (1 viss),Meat / Fish,"8,000","7,500","7,000"
Fish Paste (1 viss),Meat / Fish,"4,000","5,000","4,000"
Pork (1 viss),Meat / Fish,"8,000","10,000","10,000"
Charcoal (1 viss),NFIs,450,700,600
Cooking Pot (4 cans),NFIs,"5,500","7,500","8,500"
Blanket,NFIs,"5,750","6,000","5,800"
Mosquito Net,NFIs,"13,000","9,500","9,500"
Plastic Tarpaulin,NFIs,"20,000","15,000","12,000"
Men's Longyi,NFIs,"5,750","5,500","5,000"
Women's Longyi,NFIs,"6,000","5,000","5,500"
Umbrella,NFIs,"3,500","4,000","5,500"
Towel,NFIs,"4,500","2,500","1,200"
Vacuum Flask,NFIs,"16,000","12,000","10,000"
Jerry Can,NFIs,"6,000","7,000","6,000"
