,Category,Hpapun,Kawkareik,Taungoo
Better Rice (1 kg),Essential Food Items,1150.0,1250.0,1600.0
Cheaper Rice (1 kg),Essential Food Items,550.0,750.0,800.0
Palm Oil (1 liter),Essential Food Items,2775.0,3800.0,2400.0
Pulse (1 viss),Essential Food Items,3200.0,3500.0,3300.0
Garlic (1 viss),Vegetables,3500.0,4000.0,1200.0
Onion (1 viss),Vegetables,450.0,1000.0,600.0
Eggplant (1 viss),Vegetables,2000.0,1500.0,1000.0
Long Bean (1 viss),Vegetables,2000.0,2500.0,1300.0
Watercress (1 viss),Vegetables,1000.0,1500.0,1200.0
Green Chili (1 viss),Vegetables,1800.0,1500.0,5000.0
Bananas,Vegetables,,1750.0,1800.0
Toothpaste (140g),Hygiene,1000.0,1000.0,1500.0
Detergent (400g),Hygiene,1525.0,1000.0,900.0
Soap (60g),Hygiene,500.0,700.0,1000.0
Sanitary Pad (10 pc),Hygiene,1000.0,1000.0,1000.0
Shrimp (1 viss),Meat / Fish,8000.0,15000.0,8000.0
Fresh Fish (1 viss),Meat / Fish,4500.0,4000.0,10000.0
Dried Fish (1 viss),Meat / Fish,10000.0,9000.0,12000.0
Ar Bae Kyauk (1 viss),Meat / Fish,13000.0,12000.0,16000.0
Chicken (1 viss),Meat / Fish,7500.0,7500.0,5000.0
Fish Paste (1 viss),Meat / Fish,3500.0,5000.0,3000.0
Pork (1 viss),Meat / Fish,8000.0,10000.0,12000.0
Charcoal (1 viss),NFIs,440.0,1000.0,600.0
Cooking Pot (4 cans),NFIs,6000.0,9500.0,5000.0
Blanket,NFIs,5500.0,8000.0,6000.0
Mosquito Net,NFIs,13000.0,9500.0,12000.0
Plastic Tarpaulin,NFIs,19000.0,16000.0,13000.0
Men's Longyi,NFIs,5750.0,5500.0,5000.0
Women's Longyi,NFIs,6000.0,5000.0,4500.0
Umbrella,NFIs,3500.0,4000.0,4000.0
Towel,NFIs,4500.0,6000.0,1500.0
Vacuum Flask,NFIs,14500.0,12000.0,8000.0
Jerry Can,NFIs,5000.0,7000.0,5000.0
